k,Accuracy,Balanced Accuracy,Sensitivity,Specificity,MCC,AUC,Precision,F1 Score,Removed Compounds,dk_values,sk_values
3,0.966,0.966,0.957,0.974,0.932,0.981,0.969,0.963,130,0.304,0.202
4,0.964,0.963,0.951,0.974,0.927,0.979,0.969,0.96,128,0.362,0.23
5,0.961,0.96,0.951,0.969,0.921,0.978,0.963,0.957,129,0.403,0.249
6,0.961,0.96,0.951,0.969,0.921,0.978,0.962,0.957,131,0.434,0.263
7,0.961,0.96,0.951,0.969,0.921,0.978,0.962,0.957,131,0.458,0.273
8,0.963,0.962,0.951,0.974,0.926,0.978,0.969,0.96,134,0.479,0.281
9,0.961,0.96,0.951,0.969,0.921,0.978,0.963,0.957,133,0.496,0.288
10,0.96,0.96,0.951,0.969,0.92,0.978,0.963,0.957,134,0.512,0.294
